,Rent,Type,Description,Floor,Furnishing,Tenants Preferred,Bathroom,Balcony,Facing,Overlooking,Car Parking,Agent name
0,"Rs 8,000",2 BHK Apartment,"for rent in Nimbus Express Park View II, Chi 5 984 sqft",3 out of 21 Floors,Semi-Furnished,Bachelors/Family,2,3,North - East,Garden/Park,"1 Covered, 1 Open",ARANYA
1,"Rs 60,000",3 BHK Apartment,"for rent in Jaypee Greens Crescent Court, Pari Chowk 3500 sqft",5 out of 21 Floors,Furnished,Bachelors/Family,3,3,North - East,"Garden/Park, Pool, Main Road",1 Covered,ARANYA
2,"Rs 10,000",2 BHK House,for rent in Beta 2 Block H 1200 sqft,,Semi-Furnished,Bachelors/Family,2,2,North - East,"Garden/Park, Main Road",,Mukesh rustagi
3,"Rs 40,000",6 BHK Villa,for rent in Omega 1 2050 sqft,,Semi-Furnished,Family,6,6,,Garden/Park,2 Open,Mukesh rustagi
4,"Rs 15,000",4 BHK House,for rent in Delta 2 5000 sqft,Ground out of 2 Floors,Furnished,Bachelors/Family,4,,,,,Siddharth
5,"Rs 25,000",3 BHK Apartment,"for rent in Golf Gardenia, Alpha 2 1880 sqft",3 out of 10 Floors,Furnished,Bachelors/Family,3,,North - East,"Garden/Park, Pool, Main Road",,P W PANDEY
6,"Rs 11,000",2 BHK Apartment,"for rent in Nimbus Express Park View II, Chuharpur Khadar, Sector-Chi 1114 sqft",1 out of 18 Floors,Semi-Furnished,Bachelors/Family,2,3,,"Garden/Park, Main Road",1 Open,Sunil
7,"Rs 10,500",2 BHK House,for rent in Beta 2 Block G 900 sqft,1 out of 2 Floors,Semi-Furnished,Bachelors/Family,2,1,North - East,,,P W PANDEY
8,"Rs 19,000",3 BHK Apartment,"for rent in Stellar Icon, Chi 3 2320 sqft",Ground out of 8 Floors,Semi-Furnished,Family,4,1,,"Garden/Park, Pool",2 Covered,Sunil
9,"Rs 8,000",> 10 BHK House,House for rent in Alpha 1 Block A 350 sqft,3 out of 3 Floors,Furnished,Bachelors/Family,10,,North,"Garden/Park, Main Road",5 Open,P W PANDEY
10,"Rs 80,000",7 BHK Villa,for rent in Pari Chowk 6000 sqft,,Unfurnished,Bachelors/Family,7,2,,Garden/Park,"1 Covered, 3 Open",Mukesh rustagi
11,"Rs 16,000",3 BHK Apartment,for rent in Chi 5 1595 sqft,7 out of 14 Floors,Semi-Furnished,Family,3,3,North - East,Main Road,2 Covered,Sunil
12,"Rs 14,000",4 BHK Apartment,"for rent in AWHO Township, Pari Chowk 2450 sqft",3 out of 3 Floors,Semi-Furnished,Family,4,3,,Garden/Park,,P W PANDEY
13,"Rs 10,000",1 BHK House,for rent in Gamma 1,2 out of 3 Floors,Furnished,Bachelors/Family,2,2,North - East,,,Mukesh rustagi
14,"Rs 55,000",> 10 BHK House,House for rent in Omega 1 4500 sqft,2 out of 3 Floors,Semi-Furnished,Family,8,3,South -West,Garden/Park,3 Open,Sunil
15,"Rs 11,000",3 BHK Apartment,"for rent in Purvanchal Royal City, Chi 5 1735 sqft",6 out of 22 Floors,Semi-Furnished,Bachelors/Family,3,5,North - East,"Pool, Garden/Park, Main Road","1 Covered, 1 Open",ARANYA
16,"Rs 15,000",3 BHK Apartment,"for rent in Purvanchal Royal City, Chuharpur Khadar, Sector-Chi 1735 sqft",5 out of 22 Floors,Semi-Furnished,Bachelors/Family,3,4,North - East,"Garden/Park, Pool, Main Road",1 Covered,ARANYA
17,"Rs 60,000",3 BHK Apartment,"for rent in Jaypee Greens Crescent Court, Pari Chowk 3600 sqft",5 out of 21 Floors,Unfurnished,Bachelors/Family,4,2,East,Garden/Park,3 Covered,ARANYA
18,"Rs 10,000",Studio Apartment,rent in Pari Chowk,4 out of 14 Floors,Furnished,Bachelors/Family,1,1,North - East,Garden/Park,"1 Covered, 1 Open",Sunil
19,Rs 4 Lac,5 BHK Villa,"for rent in Jaypee Greens Estate Home, Pari Chowk 1000 sqyrd",,Semi-Furnished,Bachelors/Family,7,4,North - East,"Garden/Park, Pool, Main Road","3 Covered, 2 Open",Sunil
20,"Rs 50,000",3 BHK Apartment,"for rent in Jaypee Greens The Sun Court, Pari Chowk 3900 sqft",10 out of 30 Floors,Semi-Furnished,Family,3,1,North - East,"Garden/Park, Pool, Main Road","1 Covered, 1 Open",ARANYA
21,"Rs 10,000",3 BHK Apartment,"for rent in NRI Residency, Pari Chowk 1500 sqft",5 out of 18 Floors,Semi-Furnished,Bachelors/Family,3,3,,,,Mukesh rustagi
22,"Rs 10,000",1 BHK House,for rent in Gamma 2,,Furnished,Bachelors/Family,1,,,,,Deepika Shrivastava
23,"Rs 15,000",4 BHK Apartment,"for rent in NRI Residency, Pari Chowk 2100 sqft",14 out of 22 Floors,Semi-Furnished,Bachelors,4,4,North - East,Garden/Park,1 Open,ARANYA
24,"Rs 20,500",3 BHK Apartment,"for rent in Jaypee Greens Moon Court, Pari Chowk 2355 sqft",17 out of 28 Floors,Semi-Furnished,Bachelors,3,4,North,"Main Road, Garden/Park, Pool","2 Covered, 1 Open",ARANYA
25,"Rs 22,000",4 BHK Apartment,"for rent in Purvanchal Royal City, Chuharpur Khadar, Sector-Chi 3210 sqft",6 out of 24 Floors,Semi-Furnished,Bachelors/Family,4,5,North,"Garden/Park, Pool, Main Road","3 Covered, 1 Open",ARANYA
26,"Rs 5,000",1 BHK Apartment,for rent in Pari Chowk,1 out of 4 Floors,Furnished,Bachelors,1,1,North - East,"Garden/Park, Main Road",,P W PANDEY
27,"Rs 30,000",4 BHK Apartment,"for rent in Purvanchal Royal City, Chuharpur Khadar, Sector-Chi 2700 sqft",7 out of 22 Floors,Semi-Furnished,Family,5,4,North - East,Main Road,2 Covered,ARANYA
28,"Rs 20,000",4 BHK Apartment,"for rent in ATS Green Paradiso, Chi 4 2150 sqft",4 out of 13 Floors,Semi-Furnished,Bachelors/Family,3,3,North - East,Garden/Park,"2 Covered, 2 Open",ARANYA
29,"Rs 7,500",2 BHK Apartment,"for rent in Nimbus Express Park View II, Chi 5 984 sqft",3 out of 21 Floors,Unfurnished,Bachelors/Family,2,3,North - East,"Garden/Park, Pool, Main Road",,Sunil
